,LeafNodeName,FullPath,common,female,male
0,anterior_interosseous_l_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Anterior_interosseous_L_A,True,True,True
1,axillary_l_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Axillary_L_A,True,True,True
2,brachial_l_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Brachial_L_A,True,True,True
3,circumflex_humeral_anterior_l_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Circumflex_humeral_anterior_L_A,True,True,True
4,circumflex_humeral_posterior_l_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Circumflex_humeral_posterior_L_A,True,True,True
5,common_interosseous_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Common_interosseous_L,True,True,True
6,common_palmar_digital_l_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Common_palmar_digital_L_A,True,True,True
7,deep_palmar_arch_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Deep_palmar_arch_L,True,True,True
8,dorsal_digital_hand_l_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Dorsal_digital_hand_L_A,True,True,True
9,dorsal_metacarpal_l_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Dorsal_metacarpal_L_A,True,True,True
10,interosseous_recurrent_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Interosseous_recurrent_L,True,True,True
11,middle_collateral_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Middle_collateral_L,True,True,True
12,palmar_metacarpal_l_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Palmar_metacarpal_L_A,True,True,True
13,posterior_interosseous_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Posterior_interosseous_L,True,True,True
14,princeps_pollicis_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Princeps_pollicis_L,True,True,True
15,profunda_brachii_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Profunda_brachii_L,True,True,True
16,proper_palmar_digital_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Proper_palmar_digital_L,True,True,True
17,radial_collateral_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Radial_collateral_L,True,True,True
18,radial_dorsal_carpal_branch_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Radial_dorsal_carpal_branch_L,True,True,True
19,radial_l_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Radial_L_A,True,True,True
20,radial_recurrent_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Radial_recurrent_L,True,True,True
21,subscapular_l_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Subscapular_L_A,True,True,True
22,superficial_palmar_arch_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Superficial_palmar_arch_L,True,True,True
23,thoracoacromial_acromial_branch_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Thoracoacromial_acromial_branch_L,True,True,True
24,thoracoacromial_deltoid_branch_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Thoracoacromial_deltoid_branch_L,True,True,True
25,ulnar_collateral_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Ulnar_collateral_L,True,True,True
26,ulnar_dorsal_carpal_branch_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Ulnar_dorsal_carpal_branch_L,True,True,True
27,ulnar_l_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Ulnar_L_A,True,True,True
28,ulnar_recurrent_anterior_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Ulnar_recurrent_anterior_L,True,True,True
29,ulnar_recurrent_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Ulnar_recurrent_L,True,True,True
30,ulnar_recurrent_posterior_l,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Ulnar_recurrent_posterior_L,True,True,True
31,ulnar_superficial_branch_l_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_L/Ulnar_superficial_branch_L_A,True,True,True
32,anterior_interosseous_r_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Anterior_interosseous_R_A,True,True,True
33,axillary_r_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Axillary_R_A,True,True,True
34,brachial_r_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Brachial_R_A,True,True,True
35,circumflex_humeral_anterior_r_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Circumflex_humeral_anterior_R_A,True,True,True
36,circumflex_humeral_posterior_r_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Circumflex_humeral_posterior_R_A,True,True,True
37,common_interosseous_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Common_interosseous_R,True,True,True
38,common_palmar_digital_r_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Common_palmar_digital_R_A,True,True,True
39,deep_palmar_arch_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Deep_palmar_arch_R,True,True,True
40,dorsal_digital_hand_r_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Dorsal_digital_hand_R_A,True,True,True
41,dorsal_metacarpal_r_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Dorsal_metacarpal_R_A,True,True,True
42,interosseous_recurrent_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Interosseous_recurrent_R,True,True,True
43,middle_collateral_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Middle_collateral_R,True,True,True
44,palmar_metacarpal_r_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Palmar_metacarpal_R_A,True,True,True
45,posterior_interosseous_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Posterior_interosseous_R,True,True,True
46,princeps_pollicis_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Princeps_pollicis_R,True,True,True
47,profunda_brachii_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Profunda_brachii_R,True,True,True
48,proper_palmar_digital_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Proper_palmar_digital_R,True,True,True
49,radial_collateral_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Radial_collateral_R,True,True,True
50,radial_dorsal_carpal_branch_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Radial_dorsal_carpal_branch_R,True,True,True
51,radial_r_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Radial_R_A,True,True,True
52,radial_recurrent_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Radial_recurrent_R,True,True,True
53,subscapular_r_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Subscapular_R_A,True,True,True
54,superficial_palmar_arch_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Superficial_palmar_arch_R,True,True,True
55,thoracoacromial_acromial_branch_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Thoracoacromial_acromial_branch_R,True,True,True
56,thoracoacromial_deltoid_branch_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Thoracoacromial_deltoid_branch_R,True,True,True
57,ulnar_collateral_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Ulnar_collateral_R,True,True,True
58,ulnar_dorsal_carpal_branch_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Ulnar_dorsal_carpal_branch_R,True,True,True
59,ulnar_r_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Ulnar_R_A,True,True,True
60,ulnar_recurrent_anterior_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Ulnar_recurrent_anterior_R,True,True,True
61,ulnar_recurrent_posterior_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Ulnar_recurrent_posterior_R,True,True,True
62,ulnar_recurrent_r,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Ulnar_recurrent_R,True,True,True
63,ulnar_superficial_branch_r_a,2_20_mAnatomy/Artery_system/AABCDEFGrm_R/Ulnar_superficial_branch_R_A,True,True,True
64,anastomosis_456superior_mesenteric_and_inferior_pancreatic789,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Anastomosis_456superior_mesenteric_and_inferior_pancreatic789,True,True,True
65,artery_to_tail_of_pancreas,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Artery_to_tail_of_pancreas,True,True,True
66,celiac_trunk,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Celiac_trunk,True,True,True
67,common_hepatic,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Common_hepatic,True,True,True
68,cystic_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Cystic_A,True,True,True
69,dorsal_pancreatic,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Dorsal_pancreatic,True,True,True
70,gastroduodenal,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Gastroduodenal,True,True,True
71,gastroepiploic_456gastro246omental789_l_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Gastroepiploic_456gastro246omental789_L_A,True,True,True
72,gastroepiploic_456gastro246omental789_r_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Gastroepiploic_456gastro246omental789_R_A,True,True,True
73,great_pancreatic_456pancreatica_magna789,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Great_pancreatic_456pancreatica_magna789,True,True,True
74,ileocolic357colic_branch_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Ileocolic357colic_branch_A,True,True,True
75,ileocolic357ileal_branch,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Ileocolic357ileal_branch,True,True,True
76,ileocolic_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Ileocolic_A,True,True,True
77,inferior_adrenal_l,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Inferior_adrenal_L,True,True,True
78,inferior_adrenal_r,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Inferior_adrenal_R,True,True,True
79,inferior_mesenteric_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Inferior_mesenteric_A,True,True,True
80,inferior_pancreatic,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Inferior_pancreatic,True,True,True
81,inferior_phrenic_l_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Inferior_phrenic_L_A,True,True,True
82,inferior_phrenic_r_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Inferior_phrenic_R_A,True,True,True
83,jejunal_and_ileal_branches_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Jejunal_and_ileal_branches_A,True,True,True
84,left_colic_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Left_colic_A,True,True,True
85,left_gastric_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Left_gastric_A,True,True,True
86,marginal_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Marginal_A,True,True,True
87,medial_umbilical_ligament_456cord_of_umbilical_artery789_l,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Medial_umbilical_ligament_456cord_of_umbilical_artery789_L,True,True,True
88,medial_umbilical_ligament_456cord_of_umbilical_artery789_r,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Medial_umbilical_ligament_456cord_of_umbilical_artery789_R,True,True,True
89,middle_colic_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Middle_colic_A,True,True,True
90,pancreatic_branches_caudal,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Pancreatic_branches_caudal,True,True,True
91,pancreatic_branches_superior,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Pancreatic_branches_superior,True,True,True
92,pancreatic_branches_to_head_456caput789,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Pancreatic_branches_to_head_456caput789,True,True,True
93,pancreaticoduodenal_anterior_inferior_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Pancreaticoduodenal_anterior_inferior_A,True,True,True
94,pancreaticoduodenal_anterior_superior_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Pancreaticoduodenal_anterior_superior_A,True,True,True
95,pancreaticoduodenal_common_inferior,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Pancreaticoduodenal_common_inferior,True,True,True
96,pancreaticoduodenal_posterior_inferior_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Pancreaticoduodenal_posterior_inferior_A,True,True,True
